,PC1,PC2,Country,Cluster
0,-0.9837925609206039,0.19458465653115736, Afghanistan ,0
1,-1.0062813890581879,0.028834458336754708, Albania ,0
2,-0.5078692241060012,0.2715562942968101, Algeria ,0
3,-0.9195270228792829,-0.5815037536783246, Andorra ,0
4,-0.7766388959951529,0.14937311352145993, Angola ,0
5,-0.9965592182350927,-0.25242456891859805, Anguilla ,0
6,-1.0113032845157306,-0.16448055060970274, Antigua and Barbuda ,0
7,0.21381998871691302,0.15208137891830434, Argentina ,0
8,-1.0160525572993095,0.03137047924504206, Armenia ,0
9,-0.9660122426837467,-0.35259255148589497, Aruba ,0
10,2.319798720089133,-0.7956086855129535, Australia ,0
11,0.4690751065306676,-0.7134578801065073, Austria ,0
12,-0.9182952753274716,0.055785703229349906, Azerbaijan ,0
13,-0.9331786448329764,-0.39787801124728583, Bahamas ,0
14,-0.9000830213173165,-0.2548964969708708, Bahrain ,0
15,-0.3695035487714635,0.9085658433262584, Bangladesh ,0
16,-0.9962528407132533,-0.18890907707801957, Barbados ,0
17,-0.8376750568339207,0.057667329104421836, Belarus ,0
18,0.9579364325464016,-0.7771782986568234, Belgium ,0
19,-1.03659357642636,-0.03235810981991303, Belize ,0
20,-1.0130792343823236,0.09689037537981642, Benin ,0
21,-0.7408291096100893,-1.3997635201571001, Bermuda ,0
22,-1.0477801715415522,0.025614672563499346, Bhutan ,0
23,-0.9717304008857244,0.07994371688294855, Bolivia (Plurinational State of) ,0
24,-0.9903047518197905,0.01024380974944611, Bosnia and Herzegovina ,0
25,-0.9975112280840317,-0.02593485528539114, Botswana ,0
26,3.3721964983918604,0.8455294479157832, Brazil ,3
27,-0.9288798155534606,-0.5592401289477353, British Virgin Islands ,0
28,-0.9166712931861879,-0.4274868025995988, Brunei Darussalam ,0
29,-0.8689890959775061,0.0017968461536569395, Bulgaria ,0
30,-1.0071707037540214,0.12877391787634518, Burkina Faso ,0
31,-1.0426111344959046,0.08995232818662767, Burundi ,0
32,-1.0454488534359203,0.009548900894018135, Cabo Verde ,0
33,-0.9846646788575442,0.13316062990476035, Cambodia ,0
34,-0.9393592204576141,0.15313245639883968, Cameroon ,0
35,3.72202110109177,-0.864689602636869, Canada ,3
36,-0.8749751107423059,-0.7774089641220979, Cayman Islands ,0
37,-1.0468512442904347,0.0672119632234703, Central African Republic ,0
38,-1.0083037475980232,0.11719633603895382, Chad ,0
39,-0.3958607196937468,-0.025958999279911483, Chile ,0
40,25.03485087436144,13.964729279261165, China ,2
41,-0.26710202088582014,0.24242789736897222, Colombia ,0
42,-1.0517123819962868,0.0306235821862812, Comoros ,0
43,-1.0105388795505184,0.0422833357788952, Congo ,0
44,-1.0147000333776512,-0.1668085261987777, Cook Islands ,0
45,-0.9083711505530868,-0.041696576273040756, Costa Rica ,0
46,-0.845563946134976,-0.10661361033145558, Croatia ,0
47,-0.8198119206547377,-0.0037635091926863655, Cuba ,0
48,-0.9800695993848453,-0.3314488844660482, Curaçao ,0
49,-0.8982638134309966,-0.3390707544610562, Cyprus ,0
50,-0.29542185374690677,-0.1564078483588918, Czechia ,0
51,-0.9188777538785885,0.17928413087234807, Côte d'Ivoire ,0
52,-0.8915323496994264,0.3937760458338713, D.R. of the Congo ,0
53,0.1831428383319103,-0.8898646095204391, Denmark ,0
54,-1.0452726387129052,0.023412627176856413, Djibouti ,0
55,-1.0376614089509564,-0.052128444789218104, Dominica ,0
56,-0.854072370975105,0.029294700555746872, Dominican Republic ,0
57,-0.7967441376075683,0.10573929345515626, Ecuador ,0
58,-0.3033957658640899,0.5787144771545443, Egypt ,0
59,-0.9771719011740793,0.033592564534784645, El Salvador ,0
60,-0.9984940025607734,-0.044889954172984636, Equatorial Guinea ,0
61,-1.0495803581698833,0.054568582502101906, Eritrea ,0
62,-0.9347041190810602,-0.15641243091323154, Estonia ,0
63,-1.0355031033757847,0.010518808626681326, Eswatini ,0
64,-0.8089883639642801,0.5787589023373928, Ethiopia ,0
65,-0.9658685089917023,0.46017078351218266, Ethiopia (Former) ,0
66,-1.032580361602704,-0.0061043175798194006, Fiji ,0
67,-0.11357501381897041,-0.6281335666610559, Finland ,0
68,-0.9847357662925625,-0.20307797092810334, Former Netherlands Antilles ,0
69,6.957501997608837,-1.251913409515955, France ,3
70,-0.9698363814948336,-0.293561029454215, French Polynesia ,0
71,-0.9957639404173148,-0.04119959557751183, Gabon ,0
72,-1.0491002162749878,0.04502714995623545, Gambia ,0
73,-1.0030409259242294,0.03397049895567819, Georgia ,0
74,10.61374033219548,-1.4110249224596831, Germany ,3
75,-0.8706327557810039,0.22588485258965324, Ghana ,0
76,-0.23031209778181885,-0.27795514582345515, Greece ,0
77,-0.9213760970047723,-0.562402843628391, Greenland ,0
78,-1.0370711042377303,-0.04965820718035811, Grenada ,0
79,-0.8907056692415846,0.0937715404439912, Guatemala ,0
80,-1.014649881844926,0.09526462205091663, Guinea ,0
81,-1.052932978457507,0.04850215304207942, Guinea-Bissau ,0
82,-1.031267235674951,-0.00614859779820854, Guyana ,0
83,-1.0079367227118248,0.09026835978048994, Haiti ,0
84,-0.9820688578391611,0.07175398273026902, Honduras ,0
85,-0.5204774550791202,-0.07837333994565192, Hungary ,0
86,-0.8386730582810433,-0.7215591954113052, Iceland ,0
87,5.569550829772173,8.1329232713903, India ,3
88,1.5459836803598308,1.9461181186778451, Indonesia ,0
89,0.32317340832893554,0.5992878588122195, Iran (Islamic Republic of) ,0
90,-0.6147056764393825,0.15280279894824417, Iraq ,0
91,0.19380525634041906,-0.6478019681180552, Ireland ,0
